zinc_id,smiles
ZINC000013862366,C[C@@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12
ZINC000028528156,CC(=O)N1CC[C@@H](C)c2cc(F)cc(CCN3CCN(c4noc5ccccc45)CC3)c21
ZINC000028528157,CC(=O)N1CC[C@H](C)c2cc(F)cc(CCN3CCN(c4noc5ccccc45)CC3)c21
ZINC000028821721,C[C@@H](N)Cc1c2c(c(COCC(=O)Oc3ccccc3)c3c1OCC3)OCC2
ZINC000000057058,NCCc1c[nH]c2ccc(O)cc12
ZINC000003986724,COc1cc([C@@H](OC)[C@@H](C)N)c(OC)cc1Br
ZINC000013488011,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCS3
ZINC000013527318,C[C@@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3
ZINC000013737378,COc1cc(CCNCc2ccccc2)c(OC)cc1Br
ZINC000013757083,C[C@@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2
ZINC000013757085,C[C@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2
ZINC000026580256,CCN(C)CCc1c(-c2ccccc2F)[nH]c2ccccc12
ZINC000028107164,O=S(=O)(c1cccc(F)c1)C1(F)CCN(CCc2ccc(F)cc2F)CC1
ZINC000028113725,O=S(=O)(c1ccc(N2CCC2)cc1)C1(F)CCN(CCc2ccc(F)cc2F)CC1
ZINC000028527650,CC(=O)N1CC[C@@H](C)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c21
ZINC000028527652,CC(=O)N1CC[C@H](C)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c21
ZINC000029038602,O=C(N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)C1CC1
ZINC000029038604,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)C1CC1
ZINC000096270829,Cc1c(C)c2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2oc1=O
ZINC000096270830,Cc1cc(=O)oc2c(Cl)c(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc12
ZINC000028528987,CC(=O)N1CC[C@@H](C)c2cc(Cl)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21
ZINC000028528989,CC(=O)N1CC[C@H](C)c2cc(Cl)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21
ZINC000028821731,C[C@@H](N)Cc1c2ccoc2c(CO)c2ccoc12
ZINC000040949673,COc1cccc([C@@H](O)C2CCN(CCc3ccc(C)cc3)CC2)c1OC
ZINC000040949675,COc1cccc([C@H](O)C2CCN(CCc3ccc(C)cc3)CC2)c1OC
ZINC000045298884,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2cc(F)cc(F)c2)ccc1OCCN1CCOCC1
ZINC000001846593,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2
ZINC000003916060,O=C1C[C@@H](CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]c3ccccc3c21
ZINC000013471721,O=C1C[C@H](CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]c3ccccc3c21
ZINC000034481433,CC(C)Oc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C
ZINC000034608430,COc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1-c1c(Br)cnn1C
ZINC000035827140,COc1ccc(NC(=O)Nc2cccc(F)c2)cc1-c1c(Br)cnn1C
ZINC000035920678,COc1ccc(NC(=O)Nc2ccc(C(C)C)cc2)cc1-c1c(Br)cnn1C
ZINC000038309628,COc1ccc(NC(=O)Nc2cc(F)cc(F)c2)cc1-c1c(Br)cnn1C
